1;118;138;168;PROV1
2;52;36;129;PROV2
3;62;37;51;PROV3
4;124;54;44;PROV4
5;150;141;110;PROV5
6;237;192;206;PROV6
7;129;61;58;PROV7
8;53;178;177;PROV8
9;193;247;190;PROV9
10;155;117;158;PROV10
11;205;55;125;PROV11
12;253;118;34;PROV12
13;58;34;79;PROV13
14;176;232;52;PROV14
15;162;254;162;PROV15
16;253;170;153;PROV16
17;135;132;176;PROV17
18;60;97;57;PROV18
19;80;245;230;PROV19
20;60;62;167;PROV20
21;111;89;244;PROV21
22;73;54;90;PROV22
23;92;179;125;PROV23
24;54;61;248;PROV24
25;57;157;201;PROV25
26;34;146;149;PROV26
27;194;190;194;PROV27
28;232;232;43;PROV28
29;103;146;200;PROV29
30;140;80;194;PROV30
31;172;209;145;PROV31
32;93;171;84;PROV32
33;212;73;208;PROV33
34;59;55;170;PROV34
35;47;172;153;PROV35
36;80;236;86;PROV36
37;69;194;127;PROV37
38;215;243;62;PROV38
39;179;168;235;PROV39
40;94;236;147;PROV40
41;240;41;216;PROV41
42;239;198;209;PROV42
43;179;74;121;PROV43
44;60;123;163;PROV44
45;71;122;228;PROV45
46;89;53;231;PROV46
47;85;235;167;PROV47
48;170;228;114;PROV48
49;194;207;190;PROV49
50;36;94;224;PROV50
51;125;85;250;PROV51
52;173;65;198;PROV52
53;196;149;75;PROV53
54;101;42;47;PROV54
55;229;251;172;PROV55
56;253;137;238;PROV56
57;71;38;101;PROV57
58;36;120;170;PROV58
59;228;64;57;PROV59
60;33;218;223;PROV60
61;236;68;217;PROV61
62;140;233;36;PROV62
63;77;238;222;PROV63
64;149;196;232;PROV64
65;197;195;99;PROV65
66;206;198;254;PROV66
67;115;32;156;PROV67
68;61;131;56;PROV68
69;127;190;58;PROV69
70;159;128;233;PROV70
71;245;225;63;PROV71
72;204;47;98;PROV72
73;51;206;116;PROV73
74;132;76;200;PROV74
75;250;176;97;PROV75
76;96;204;191;PROV76
77;190;43;73;PROV77
78;232;172;140;PROV78
79;244;159;225;PROV79
80;198;248;177;PROV80
81;30;185;247;PROV81
82;167;237;211;PROV82
83;101;137;98;PROV83
84;162;115;193;PROV84
85;72;154;158;PROV85
86;126;180;100;PROV86
87;236;231;40;PROV87
88;202;129;113;PROV88
89;63;132;196;PROV89
90;173;127;140;PROV90
91;82;150;60;PROV91
92;193;117;107;PROV92
93;56;131;243;PROV93
94;240;44;101;PROV94
95;146;96;252;PROV95
96;184;180;139;PROV96
97;183;125;55;PROV97
98;74;57;158;PROV98
99;105;208;83;PROV99
100;51;74;51;PROV100
101;108;207;244;PROV101
102;137;73;144;PROV102
103;187;176;252;PROV103
104;124;77;118;PROV104
105;125;56;60;PROV105
106;86;38;123;PROV106
107;157;118;164;PROV107
108;54;97;209;PROV108
109;43;218;224;PROV109
110;80;200;200;PROV110
111;250;250;204;PROV111
112;57;204;234;PROV112
113;70;234;181;PROV113
114;52;100;252;PROV114
115;62;91;173;PROV115
116;52;51;199;PROV116
117;151;235;210;PROV117
118;234;162;109;PROV118
119;73;111;113;PROV119
120;148;74;243;PROV120
121;79;59;88;PROV121
122;143;116;138;PROV122
123;237;32;251;PROV123
124;212;235;157;PROV124
125;80;58;46;PROV125
126;181;45;117;PROV126
127;125;238;122;PROV127
128;150;176;190;PROV128
129;193;135;218;PROV129
130;148;225;126;PROV130
131;102;252;160;PROV131
132;112;116;131;PROV132
133;211;97;45;PROV133
134;227;228;251;PROV134
135;67;164;205;PROV135
136;71;209;75;PROV136
137;202;74;152;PROV137
138;63;93;39;PROV138
139;60;66;86;PROV139
140;53;87;132;PROV140
141;202;109;47;PROV141
142;212;43;152;PROV142
143;222;111;91;PROV143
144;176;226;48;PROV144
145;202;176;45;PROV145
146;209;154;208;PROV146
147;37;79;53;PROV147
148;121;181;60;PROV148
149;214;204;170;PROV149
150;187;114;196;PROV150
151;178;228;84;PROV151
152;115;57;108;PROV152
153;245;96;237;PROV153
154;203;139;94;PROV154
155;67;105;166;PROV155
156;117;248;210;PROV156
157;246;103;246;PROV157
158;107;54;202;PROV158
159;215;123;126;PROV159
160;130;47;238;PROV160
161;71;172;71;PROV161
162;220;177;128;PROV162
163;34;61;126;PROV163
164;129;123;164;PROV164
165;91;254;247;PROV165
166;245;197;150;PROV166
167;207;214;81;PROV167
168;218;156;154;PROV168
169;113;218;187;PROV169
170;235;87;238;PROV170
171;225;112;68;PROV171
172;129;174;86;PROV172
173;59;68;47;PROV173
